Ergebnisart;Datum;Uhrzeit;Soll Wahlbezirke;Ist Wahlbezirke;Satzart;Schlüsselnummer;Name;A - Wahlberechtigte;B - Wähler;E - Ungültige Zweitstimmen;F - Gültige Zweitstimmen;F01 - DIE LINKE;F02 - CDU;F03 - SPD;F04 - FDP;F05 - GRÜNE;F06 - PIRATEN;F07 - NPD;F08 - MLPD;F09 - AfD;F10 - pro Deutschland;F11 - FREIE WÄHLER;F12 - ÖDP;C - Ungültige Erststimmen;D - Gültige Erststimmen;D01 - DIE LINKE;D02 - CDU;D03 - SPD;D04 - FDP;D05 - GRÜNE;D06 - PIRATEN;D07 - NPD;D08 - MLPD;D09 - AfD;D11 - FREIE WÄHLER;D13 - Tierschutzpartei;D14 - Einzelbewerber;
V;22.09.2013;19:50;3;3;GEM;15084012;Gemeinde An der Poststraße;1456;830;14;816;151;384;141;29;12;18;33;1;26;0;20;1;18;812;169;412;136;7;9;21;41;;;15;;2;
V;22.09.2013;21:31;3;3;GEM;15084013;Gemeinde Meineweh;889;527;8;519;125;232;86;9;11;15;11;1;21;0;7;1;11;516;129;239;84;4;21;11;19;;;6;;3;
V;22.09.2013;19:50;8;8;GEM;15084015;Stadt Bad Bibra;2439;1327;20;1307;302;546;189;53;26;18;63;4;72;7;27;0;18;1309;338;603;185;29;23;23;73;;;32;;3;
V;22.09.2013;18:59;4;4;GEM;15084025;Gemeinde Balgstädt;969;612;13;599;90;309;92;11;23;5;29;0;25;4;10;1;16;596;110;306;96;13;15;10;32;;;14;;0;
V;22.09.2013;20:00;2;2;GEM;15084115;Gemeinde Droyßig;1775;945;19;926;223;401;145;10;32;22;34;1;43;0;11;4;22;923;272;405;119;8;42;17;34;;;19;;7;
V;22.09.2013;19:50;3;3;GEM;15084125;Stadt Eckartsberga;2057;1039;18;1021;242;446;164;24;16;20;33;1;50;5;19;1;16;1023;257;465;165;24;19;26;43;;;22;;2;
V;22.09.2013;21:06;11;11;GEM;15084130;Gemeinde Elsteraue;7535;4286;78;4208;1019;1892;645;86;93;82;159;5;160;13;51;3;75;4211;1056;1959;586;45;200;80;205;;;70;;10;
V;22.09.2013;20:00;3;3;GEM;15084132;Gemeinde Finne;1054;640;12;628;149;250;110;18;23;18;28;0;19;4;8;1;15;625;152;260;119;10;16;24;27;;;15;;2;
V;22.09.2013;19:10;3;3;GEM;15084133;Gemeinde Finneland;980;568;14;554;122;245;99;22;9;13;23;0;11;2;8;0;14;554;135;259;84;11;13;13;26;;;10;;3;
V;22.09.2013;19:30;8;8;GEM;15084135;Stadt Freyburg (Unstrut);4199;2192;32;2160;478;954;336;76;51;38;72;4;103;8;37;3;36;2156;525;1006;338;38;55;43;82;;;61;;8;
V;22.09.2013;19:10;3;3;GEM;15084150;Gemeinde Gleina;1102;675;14;661;140;329;111;19;15;8;15;1;16;0;7;0;15;660;143;346;107;14;13;10;14;;;11;;2;
V;22.09.2013;19:19;2;2;GEM;15084170;Gemeinde Goseck;878;562;2;560;128;270;69;22;15;7;14;1;24;2;8;0;2;560;131;306;73;4;14;6;19;;;6;;1;
V;22.09.2013;19:40;7;7;GEM;15084207;Gemeinde Gutenborn;1623;1049;5;1044;192;520;147;33;29;17;52;0;41;4;7;2;8;1041;188;516;123;29;91;28;53;;;10;;3;
V;22.09.2013;21:06;12;12;GEM;15084235;Stadt Hohenmölsen;8908;4629;87;4542;1281;1900;713;105;90;64;149;11;161;13;44;11;98;4531;1371;1992;667;62;85;87;182;;;77;;8;
V;22.09.2013;19:30;6;6;GEM;15084246;Gemeinde Kaiserpfalz;1429;848;24;824;219;333;142;16;34;19;20;1;29;2;8;1;24;824;227;362;135;9;25;23;27;;;13;;3;
V;22.09.2013;19:30;3;3;GEM;15084250;Gemeinde Karsdorf;1466;814;16;798;213;334;138;12;9;16;33;0;27;2;14;0;17;797;235;350;120;6;10;18;36;;;21;;1;
V;22.09.2013;19:40;5;5;GEM;15084275;Gemeinde Kretzschau;2207;1234;25;1209;297;528;167;36;28;17;51;0;67;1;16;1;24;1210;320;551;153;21;62;29;50;;;19;;5;
V;22.09.2013;19:30;2;2;GEM;15084282;Gemeinde Lanitz-Hassel-Tal;980;593;9;584;95;302;88;12;25;5;23;0;24;2;7;1;14;579;108;306;86;12;13;8;25;;;17;;4;
V;22.09.2013;20:00;4;4;GEM;15084285;Stadt Laucha an der Unstrut;2679;1583;28;1555;304;691;238;27;58;22;107;0;67;8;28;5;29;1554;334;701;257;27;44;33;122;;;32;;4;
V;22.09.2013;22:39;17;17;GEM;15084315;Stadt Lützen;7530;4197;65;4132;844;1839;662;129;196;69;130;4;188;21;45;5;72;4125;925;1938;647;64;193;97;166;;;84;;11;
V;22.09.2013;19:19;4;4;GEM;15084335;Gemeinde Mertendorf;1435;806;16;790;204;338;131;30;16;10;23;1;29;1;6;1;15;791;206;368;132;18;17;9;27;;;12;;2;
V;22.09.2013;18:59;4;4;GEM;15084341;Gemeinde Molauer Land;950;531;14;517;134;216;84;13;14;13;9;0;22;2;10;0;16;515;147;225;73;10;13;14;18;;;14;;1;
V;22.09.2013;21:20;26;26;GEM;15084355;Stadt Naumburg (Saale);28459;14099;214;13885;3274;5727;2235;395;555;273;418;16;700;45;218;29;245;13854;3712;6046;2192;199;435;294;554;;;379;;43;
